Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52548 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  1.41 MBytes  11.8 Mbits/sec    0   45.2 KBytes       
[  8]   1.00-2.00   sec   251 KBytes  2.05 Mbits/sec    0   42.4 KBytes       
[  8]   2.00-3.01   sec   278 KBytes  2.26 Mbits/sec    0   42.4 KBytes       
[  8]   3.01-4.01   sec   266 KBytes  2.18 Mbits/sec    0   42.4 KBytes       
[  8]   4.01-5.01   sec   232 KBytes  1.90 Mbits/sec    0   45.2 KBytes       
[  8]   5.01-6.00   sec   280 KBytes  2.30 Mbits/sec    0   45.2 KBytes       
[  8]   6.00-7.00   sec   224 KBytes  1.84 Mbits/sec    0   45.2 KBytes       
[  8]   7.00-8.00   sec   288 KBytes  2.36 Mbits/sec    0   42.4 KBytes       
[  8]   8.00-9.00   sec   256 KBytes  2.10 Mbits/sec    0   42.4 KBytes       
[  8]   9.00-10.00  sec   258 KBytes  2.12 Mbits/sec    0   42.4 KBytes       
[  8]  10.00-11.00  sec   254 KBytes  2.08 Mbits/sec    0   42.4 KBytes       
[  8]  11.00-12.01  sec   275 KBytes  2.23 Mbits/sec    0   45.2 KBytes       
[  8]  12.01-13.00  sec   249 KBytes  2.06 Mbits/sec    0   48.1 KBytes       
[  8]  13.00-14.01  sec   249 KBytes  2.02 Mbits/sec    0   42.4 KBytes       
[  8]  14.01-15.00  sec   251 KBytes  2.07 Mbits/sec    0   42.4 KBytes       
[  8]  15.00-16.01  sec   256 KBytes  2.09 Mbits/sec    0   45.2 KBytes       
[  8]  16.01-17.00  sec   240 KBytes  1.96 Mbits/sec    0   42.4 KBytes       
[  8]  17.00-18.00  sec   249 KBytes  2.04 Mbits/sec    0   42.4 KBytes       
[  8]  18.00-19.00  sec   249 KBytes  2.04 Mbits/sec    0   45.2 KBytes       
[  8]  19.00-20.00  sec   255 KBytes  2.09 Mbits/sec    0   45.2 KBytes       
[  8]  20.00-21.02  sec   288 KBytes  2.31 Mbits/sec    0   42.4 KBytes       
[  8]  21.02-22.01  sec   256 KBytes  2.12 Mbits/sec    0   42.4 KBytes       
[  8]  22.01-23.00  sec   228 KBytes  1.89 Mbits/sec    0   45.2 KBytes       
[  8]  23.00-24.00  sec   252 KBytes  2.06 Mbits/sec    0   42.4 KBytes       
[  8]  24.00-25.00  sec   256 KBytes  2.10 Mbits/sec    0   45.2 KBytes       
[  8]  25.00-26.00  sec   288 KBytes  2.36 Mbits/sec    0   53.7 KBytes       
[  8]  26.00-27.00  sec   256 KBytes  2.10 Mbits/sec    0   48.1 KBytes       
[  8]  27.00-28.00  sec   224 KBytes  1.84 Mbits/sec    0   42.4 KBytes       
[  8]  28.00-29.00  sec   256 KBytes  2.10 Mbits/sec    0   45.2 KBytes       
[  8]  29.00-30.00  sec   288 KBytes  2.36 Mbits/sec    0   45.2 KBytes       
[  8]  30.00-31.00  sec   233 KBytes  1.91 Mbits/sec    0   42.4 KBytes       
[  8]  31.00-32.00  sec   249 KBytes  2.04 Mbits/sec    0   42.4 KBytes       
