Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52350 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  21.2 MBytes   178 Mbits/sec    0   33.9 KBytes       
[  8]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  8]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  8]   3.00-4.01   sec  1.06 MBytes  8.86 Mbits/sec    0   50.9 KBytes       
[  8]   4.01-5.01   sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  8]   5.01-6.00   sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  8]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  8]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   65.0 KBytes       
[  8]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   73.5 KBytes       
[  8]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   83.4 KBytes       
[  8]  10.00-11.01  sec  0.00 Bytes  0.00 bits/sec    0   90.5 KBytes       
[  8]  11.01-12.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  8]  13.00-14.01  sec  0.00 Bytes  0.00 bits/sec    0    144 KBytes       
[  8]  14.01-15.00  sec  0.00 Bytes  0.00 bits/sec    4   87.7 KBytes       
[  8]  15.00-16.00  sec  2.50 MBytes  20.9 Mbits/sec    0    103 KBytes       
[  8]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  20.00-21.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  21.01-22.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  22.00-23.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  23.01-24.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  25.00-26.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  26.01-27.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  28.00-29.00  sec  3.00 MBytes  25.2 Mbits/sec    0    103 KBytes       
[  8]  29.00-30.00  sec  1.20 MBytes  10.1 Mbits/sec    0    103 KBytes       
[  8]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  32.01-33.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  33.01-34.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  41.00-42.00  sec  2.88 MBytes  24.1 Mbits/sec    0    103 KBytes       
[  8]  42.00-43.01  sec  1.18 MBytes  9.78 Mbits/sec    0    103 KBytes       
[  8]  43.01-44.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  44.01-45.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  45.01-46.01  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  46.01-47.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  8]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  52.00-53.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  53.01-54.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  54.00-55.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  55.01-56.00  sec  2.12 MBytes  18.0 Mbits/sec    0    178 KBytes       
[  8]  56.00-57.01  sec  1.22 MBytes  10.2 Mbits/sec    0    178 KBytes       
[  8]  57.01-58.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  62.00-63.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  63.01-64.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  64.00-65.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  65.01-66.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  66.00-67.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  67.01-68.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  68.00-69.00  sec  2.75 MBytes  23.2 Mbits/sec    0    178 KBytes       
[  8]  69.00-70.00  sec  1.16 MBytes  9.67 Mbits/sec    0    178 KBytes       
[  8]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  72.00-73.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  73.01-74.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  74.01-75.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  75.01-76.01  sec  9.23 KBytes  75.7 Kbits/sec    0    178 KBytes       
[  8]  76.01-77.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  77.01-78.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  82.00-83.01  sec  3.93 MBytes  32.6 Mbits/sec    0    178 KBytes       
[  8]  83.01-84.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  84.01-85.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  85.01-86.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  86.01-87.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  87.01-88.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  88.01-89.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  93.00-94.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  94.01-95.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  95.01-96.01  sec  3.72 MBytes  31.2 Mbits/sec    0    178 KBytes       
[  8]  96.01-97.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  97.01-98.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  98.01-99.00  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 105.00-106.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 106.01-107.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 108.00-109.01 sec  3.48 MBytes  29.0 Mbits/sec    0    178 KBytes       
[  8] 109.01-110.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 112.00-113.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 114.00-115.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 115.01-116.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 116.01-117.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 117.01-118.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 118.01-119.01 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  8] 119.01-120.00 sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
