Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52476 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec  2.50 MBytes  20.8 Mbits/sec    0   90.5 KBytes       
[  8]   1.01-2.00   sec   156 KBytes  1.29 Mbits/sec    0   90.5 KBytes       
[  8]   2.00-3.01   sec   191 KBytes  1.56 Mbits/sec    0    107 KBytes       
[  8]   3.01-4.01   sec   338 KBytes  2.77 Mbits/sec    0    124 KBytes       
[  8]   4.01-5.00   sec   342 KBytes  2.82 Mbits/sec    0    130 KBytes       
[  8]   5.00-6.00   sec   312 KBytes  2.56 Mbits/sec    0    130 KBytes       
[  8]   6.00-7.00   sec   352 KBytes  2.87 Mbits/sec    0    130 KBytes       
[  8]   7.00-8.00   sec   362 KBytes  2.98 Mbits/sec    0    130 KBytes       
[  8]   8.00-9.00   sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
[  8]   9.00-10.00  sec   342 KBytes  2.81 Mbits/sec    0    133 KBytes       
[  8]  10.00-11.00  sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
[  8]  11.00-12.01  sec   342 KBytes  2.78 Mbits/sec    0    133 KBytes       
[  8]  12.01-13.00  sec   349 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  13.00-14.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  14.00-15.01  sec   357 KBytes  2.91 Mbits/sec    0    133 KBytes       
[  8]  15.01-16.01  sec   311 KBytes  2.55 Mbits/sec    0    133 KBytes       
[  8]  16.01-17.00  sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  17.00-18.00  sec   342 KBytes  2.79 Mbits/sec    0    136 KBytes       
[  8]  18.00-19.00  sec   344 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  19.00-20.00  sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  20.00-21.00  sec   331 KBytes  2.71 Mbits/sec    0    136 KBytes       
[  8]  21.00-22.01  sec   373 KBytes  3.03 Mbits/sec    0    136 KBytes       
[  8]  22.01-23.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  23.01-24.00  sec   342 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8]  24.00-25.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  25.00-26.00  sec   349 KBytes  2.86 Mbits/sec    0    136 KBytes       
[  8]  26.00-27.00  sec   335 KBytes  2.73 Mbits/sec    0    136 KBytes       
[  8]  27.00-28.00  sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  28.00-29.00  sec   346 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8]  29.00-30.00  sec   352 KBytes  2.89 Mbits/sec    0    136 KBytes       
[  8]  30.00-31.00  sec   359 KBytes  2.94 Mbits/sec    0    136 KBytes       
[  8]  31.00-32.01  sec   345 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  32.01-33.01  sec   340 KBytes  2.79 Mbits/sec    0    136 KBytes       
[  8]  33.01-34.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  34.01-35.00  sec   342 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8]  35.00-36.00  sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  36.00-37.00  sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  37.00-38.00  sec   323 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8]  38.00-39.00  sec   373 KBytes  3.07 Mbits/sec    0    136 KBytes       
[  8]  39.00-40.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  40.00-41.00  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  41.00-42.00  sec   348 KBytes  2.85 Mbits/sec    0    136 KBytes       
[  8]  42.00-43.01  sec   368 KBytes  2.99 Mbits/sec    0    136 KBytes       
[  8]  43.01-44.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  44.01-45.00  sec   346 KBytes  2.86 Mbits/sec    0    136 KBytes       
[  8]  45.00-46.01  sec   338 KBytes  2.76 Mbits/sec    0    136 KBytes       
[  8]  46.01-47.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  47.01-48.00  sec   343 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  48.00-49.00  sec   352 KBytes  2.89 Mbits/sec    0    136 KBytes       
[  8]  49.00-50.00  sec   331 KBytes  2.72 Mbits/sec    0    136 KBytes       
[  8]  50.00-51.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  51.00-52.01  sec   373 KBytes  3.03 Mbits/sec    0    136 KBytes       
[  8]  52.01-53.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  53.01-54.01  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  54.01-55.00  sec   349 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  55.00-56.01  sec   336 KBytes  2.73 Mbits/sec    0    136 KBytes       
[  8]  56.01-57.00  sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  57.00-58.00  sec   346 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  58.00-59.00  sec   338 KBytes  2.78 Mbits/sec    0    136 KBytes       
[  8]  59.00-60.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  60.00-61.00  sec   312 KBytes  2.56 Mbits/sec    0    136 KBytes       
[  8]  61.00-62.00  sec   320 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8]  62.00-63.00  sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  63.00-64.01  sec   323 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8]  64.01-65.00  sec   349 KBytes  2.89 Mbits/sec    0    136 KBytes       
[  8]  65.00-66.00  sec   320 KBytes  2.62 Mbits/sec    0    136 KBytes       
