Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52728 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec   800 KBytes  6.49 Mbits/sec    0   28.3 KBytes       
[  8]   1.01-2.01   sec  54.1 KBytes   444 Kbits/sec    0   65.0 KBytes       
[  8]   2.01-3.00   sec   156 KBytes  1.29 Mbits/sec    0    130 KBytes       
[  8]   3.00-4.00   sec   156 KBytes  1.27 Mbits/sec    0    130 KBytes       
[  8]   4.00-5.01   sec   156 KBytes  1.27 Mbits/sec    0    130 KBytes       
[  8]   5.01-6.00   sec   187 KBytes  1.54 Mbits/sec    0    130 KBytes       
[  8]   6.00-7.00   sec   189 KBytes  1.54 Mbits/sec    0    130 KBytes       
[  8]   7.00-8.00   sec   192 KBytes  1.57 Mbits/sec    0    130 KBytes       
[  8]   8.00-9.00   sec   192 KBytes  1.58 Mbits/sec    0    130 KBytes       
[  8]   9.00-10.00  sec   174 KBytes  1.42 Mbits/sec    0    130 KBytes       
[  8]  10.00-11.00  sec   178 KBytes  1.46 Mbits/sec    0    130 KBytes       
[  8]  11.00-12.01  sec   164 KBytes  1.33 Mbits/sec    0    133 KBytes       
[  8]  12.01-13.00  sec   188 KBytes  1.55 Mbits/sec    0    133 KBytes       
[  8]  13.00-14.00  sec   186 KBytes  1.52 Mbits/sec    0    133 KBytes       
[  8]  14.00-15.01  sec   166 KBytes  1.36 Mbits/sec    0    133 KBytes       
[  8]  15.01-16.00  sec   192 KBytes  1.58 Mbits/sec    0    133 KBytes       
[  8]  16.00-17.00  sec   192 KBytes  1.57 Mbits/sec    0    133 KBytes       
[  8]  17.00-18.00  sec   165 KBytes  1.35 Mbits/sec    0    133 KBytes       
[  8]  18.00-19.00  sec   187 KBytes  1.53 Mbits/sec    0    133 KBytes       
[  8]  19.00-20.00  sec   186 KBytes  1.53 Mbits/sec    0    136 KBytes       
[  8]  20.00-21.00  sec   166 KBytes  1.36 Mbits/sec    0    136 KBytes       
[  8]  21.00-22.01  sec   192 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  8]  22.01-23.01  sec   171 KBytes  1.40 Mbits/sec    0    136 KBytes       
[  8]  23.01-24.00  sec   187 KBytes  1.54 Mbits/sec    0    136 KBytes       
[  8]  24.00-25.00  sec   187 KBytes  1.53 Mbits/sec    0    136 KBytes       
[  8]  25.00-26.01  sec   187 KBytes  1.52 Mbits/sec    0    136 KBytes       
[  8]  26.01-27.00  sec   165 KBytes  1.36 Mbits/sec    0    136 KBytes       
[  8]  27.00-28.00  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  28.00-29.00  sec   172 KBytes  1.41 Mbits/sec    0    136 KBytes       
[  8]  29.00-30.00  sec   187 KBytes  1.53 Mbits/sec    0    136 KBytes       
[  8]  30.00-31.00  sec   187 KBytes  1.53 Mbits/sec    0    136 KBytes       
[  8]  31.00-32.00  sec   159 KBytes  1.30 Mbits/sec    0    136 KBytes       
[  8]  32.00-33.01  sec   192 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  8]  33.01-34.00  sec   192 KBytes  1.59 Mbits/sec    0    136 KBytes       
[  8]  34.00-35.01  sec   173 KBytes  1.41 Mbits/sec    0    136 KBytes       
[  8]  35.01-36.01  sec   187 KBytes  1.53 Mbits/sec    0    136 KBytes       
[  8]  36.01-37.00  sec   156 KBytes  1.28 Mbits/sec    0    136 KBytes       
[  8]  37.00-38.00  sec   189 KBytes  1.55 Mbits/sec    0    136 KBytes       
[  8]  38.00-39.00  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  39.00-40.00  sec   179 KBytes  1.47 Mbits/sec    0    136 KBytes       
[  8]  40.00-41.00  sec   187 KBytes  1.53 Mbits/sec    0    139 KBytes       
[  8]  41.00-42.01  sec   187 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8]  42.01-43.00  sec   156 KBytes  1.29 Mbits/sec    0    141 KBytes       
[  8]  43.00-44.01  sec   188 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  44.01-45.00  sec   192 KBytes  1.59 Mbits/sec    0    141 KBytes       
[  8]  45.00-46.00  sec   180 KBytes  1.47 Mbits/sec    0    141 KBytes       
[  8]  46.00-47.01  sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8]  47.01-48.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  48.00-49.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  49.00-50.00  sec   156 KBytes  1.28 Mbits/sec    0    141 KBytes       
[  8]  50.00-51.00  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  51.00-52.00  sec   181 KBytes  1.48 Mbits/sec    0    141 KBytes       
[  8]  52.00-53.01  sec   171 KBytes  1.39 Mbits/sec    0    141 KBytes       
[  8]  53.01-54.01  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  54.01-55.00  sec   166 KBytes  1.37 Mbits/sec    0    141 KBytes       
[  8]  55.00-56.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  56.00-57.01  sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8]  57.01-58.01  sec   182 KBytes  1.49 Mbits/sec    0    141 KBytes       
[  8]  58.01-59.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  59.00-60.00  sec   176 KBytes  1.44 Mbits/sec    0    141 KBytes       
[  8]  60.00-61.00  sec   166 KBytes  1.37 Mbits/sec    0    141 KBytes       
[  8]  61.00-62.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  62.00-63.01  sec   191 KBytes  1.55 Mbits/sec    0    141 KBytes       
[  8]  63.01-64.01  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  64.01-65.00  sec   177 KBytes  1.46 Mbits/sec    0    141 KBytes       
[  8]  65.00-66.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  66.00-67.01  sec   180 KBytes  1.47 Mbits/sec    0    141 KBytes       
[  8]  67.01-68.00  sec   162 KBytes  1.33 Mbits/sec    0    141 KBytes       
[  8]  68.00-69.00  sec   190 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  69.00-70.00  sec   183 KBytes  1.50 Mbits/sec    0    141 KBytes       
[  8]  70.00-71.00  sec   169 KBytes  1.39 Mbits/sec    0    141 KBytes       
[  8]  71.00-72.00  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  72.00-73.01  sec   199 KBytes  1.62 Mbits/sec    0    141 KBytes       
[  8]  73.01-74.01  sec   156 KBytes  1.28 Mbits/sec    0    141 KBytes       
[  8]  74.01-75.00  sec   189 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  75.00-76.00  sec   184 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8]  76.00-77.01  sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8]  77.01-78.00  sec   173 KBytes  1.43 Mbits/sec    0    141 KBytes       
[  8]  78.00-79.00  sec   169 KBytes  1.38 Mbits/sec    0    141 KBytes       
[  8]  79.00-80.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  80.00-81.00  sec   156 KBytes  1.29 Mbits/sec    0    141 KBytes       
[  8]  81.00-82.00  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  82.00-83.01  sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8]  83.01-84.00  sec   192 KBytes  1.59 Mbits/sec    0    141 KBytes       
[  8]  84.00-85.00  sec   170 KBytes  1.39 Mbits/sec    0    141 KBytes       
[  8]  85.00-86.00  sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  86.00-87.01  sec   188 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8]  87.01-88.00  sec   160 KBytes  1.32 Mbits/sec    0    141 KBytes       
[  8]  88.00-89.00  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  89.00-90.00  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  90.00-91.01  sec   192 KBytes  1.55 Mbits/sec    0    141 KBytes       
[  8]  91.01-92.00  sec   165 KBytes  1.37 Mbits/sec    0    141 KBytes       
[  8]  92.00-93.01  sec   187 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8]  93.01-94.00  sec   160 KBytes  1.33 Mbits/sec    0    141 KBytes       
[  8]  94.00-95.01  sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8]  95.01-96.01  sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8]  96.01-97.00  sec   171 KBytes  1.42 Mbits/sec    0    141 KBytes       
[  8]  97.00-98.01  sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8]  98.01-99.00  sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8]  99.00-100.00 sec   159 KBytes  1.30 Mbits/sec    0    141 KBytes       
[  8] 100.00-101.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 101.00-102.00 sec   178 KBytes  1.45 Mbits/sec    0    141 KBytes       
[  8] 102.00-103.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 103.00-104.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 104.00-105.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 105.00-106.00 sec   158 KBytes  1.30 Mbits/sec    0    141 KBytes       
[  8] 106.00-107.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 107.00-108.01 sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 108.01-109.01 sec   173 KBytes  1.42 Mbits/sec    0    141 KBytes       
[  8] 109.01-110.00 sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 110.00-111.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 111.00-112.00 sec   158 KBytes  1.29 Mbits/sec    0    141 KBytes       
[  8] 112.00-113.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 113.00-114.01 sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 114.01-115.00 sec   174 KBytes  1.44 Mbits/sec    0    141 KBytes       
[  8] 115.00-116.00 sec   178 KBytes  1.46 Mbits/sec    0    141 KBytes       
[  8] 116.00-117.01 sec   195 KBytes  1.59 Mbits/sec    0    141 KBytes       
[  8] 117.01-118.00 sec   157 KBytes  1.30 Mbits/sec    0    141 KBytes       
[  8] 118.00-119.01 sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 119.01-120.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 120.00-121.00 sec   175 KBytes  1.43 Mbits/sec    0    141 KBytes       
[  8] 121.00-122.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 122.00-123.00 sec   183 KBytes  1.50 Mbits/sec    0    141 KBytes       
[  8] 123.00-124.00 sec   160 KBytes  1.31 Mbits/sec    0    141 KBytes       
[  8] 124.00-125.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 125.00-126.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 126.00-127.00 sec   176 KBytes  1.44 Mbits/sec    0    141 KBytes       
[  8] 127.00-128.01 sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8] 128.01-129.01 sec   156 KBytes  1.28 Mbits/sec    0    141 KBytes       
[  8] 129.01-130.01 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 130.01-131.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 131.00-132.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 132.00-133.00 sec   176 KBytes  1.44 Mbits/sec    0    141 KBytes       
[  8] 133.00-134.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 134.00-135.00 sec   181 KBytes  1.48 Mbits/sec    0    141 KBytes       
[  8] 135.00-136.00 sec   161 KBytes  1.32 Mbits/sec    0    141 KBytes       
[  8] 136.00-137.00 sec   191 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 137.00-138.01 sec   182 KBytes  1.48 Mbits/sec    0    141 KBytes       
[  8] 138.01-139.00 sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 139.00-140.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 140.00-141.02 sec   187 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8] 141.02-142.00 sec   156 KBytes  1.29 Mbits/sec    0    141 KBytes       
[  8] 142.00-143.00 sec   190 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 143.00-144.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 144.00-145.00 sec   178 KBytes  1.46 Mbits/sec    0    141 KBytes       
[  8] 145.00-146.01 sec   187 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8] 146.01-147.00 sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 147.00-148.00 sec   156 KBytes  1.27 Mbits/sec    0    141 KBytes       
[  8] 148.00-149.01 sec   189 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 149.01-150.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 150.00-151.01 sec   179 KBytes  1.46 Mbits/sec    0    141 KBytes       
[  8] 151.01-152.00 sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 152.00-153.00 sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8] 153.00-154.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 154.00-155.00 sec   157 KBytes  1.29 Mbits/sec    0    141 KBytes       
[  8] 155.00-156.01 sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 156.01-157.00 sec   180 KBytes  1.49 Mbits/sec    0    141 KBytes       
[  8] 157.00-158.01 sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8] 158.01-159.01 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 159.01-160.01 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 160.01-161.01 sec   156 KBytes  1.28 Mbits/sec    0    141 KBytes       
[  8] 161.01-162.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 162.00-163.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 163.00-164.00 sec   175 KBytes  1.44 Mbits/sec    0    141 KBytes       
[  8] 164.00-165.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 165.00-166.00 sec   182 KBytes  1.49 Mbits/sec    0    141 KBytes       
[  8] 166.00-167.00 sec   160 KBytes  1.31 Mbits/sec    0    141 KBytes       
[  8] 167.00-168.01 sec   192 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 168.01-169.01 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 169.01-170.00 sec   176 KBytes  1.45 Mbits/sec    0    141 KBytes       
[  8] 170.00-171.01 sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8] 171.01-172.01 sec   181 KBytes  1.49 Mbits/sec    0    141 KBytes       
[  8] 172.01-173.00 sec   161 KBytes  1.32 Mbits/sec    0    141 KBytes       
[  8] 173.00-174.00 sec   191 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 174.00-175.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 175.00-176.00 sec   177 KBytes  1.45 Mbits/sec    0    141 KBytes       
[  8] 176.00-177.01 sec   187 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8] 177.01-178.01 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 178.01-179.01 sec   156 KBytes  1.28 Mbits/sec    0    141 KBytes       
[  8] 179.01-180.01 sec   190 KBytes  1.56 Mbits/sec    0    141 KBytes       
[  8] 180.01-181.00 sec   183 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8] 181.00-182.01 sec   187 KBytes  1.52 Mbits/sec    0    141 KBytes       
[  8] 182.01-183.00 sec   174 KBytes  1.43 Mbits/sec    0    141 KBytes       
[  8] 183.00-184.00 sec   168 KBytes  1.38 Mbits/sec    0    141 KBytes       
[  8] 184.00-185.00 sec   187 KBytes  1.53 Mbits/sec    0    141 KBytes       
[  8] 185.00-186.00 sec   190 KBytes  1.55 Mbits/sec    0    141 KBytes       
[  8] 186.00-187.00 sec   184 KBytes  1.51 Mbits/sec    0    141 KBytes       
[  8] 187.00-188.00 sec   168 KBytes  1.38 Mbits/sec    0    141 KBytes       
[  8] 188.00-189.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 189.00-190.01 sec   169 KBytes  1.37 Mbits/sec    0    141 KBytes       
[  8] 190.01-191.00 sec   187 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 191.00-192.01 sec   189 KBytes  1.54 Mbits/sec    0    141 KBytes       
[  8] 192.01-193.00 sec   160 KBytes  1.31 Mbits/sec    0    141 KBytes       
[  8] 193.00-194.00 sec   192 KBytes  1.58 Mbits/sec    0    141 KBytes       
[  8] 194.00-195.00 sec   192 KBytes  1.57 Mbits/sec    0    141 KBytes       
[  8] 195.00-196.00 sec   169 KBytes  1.39 Mbits/sec    0    141 KBytes       
