Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 60662 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  21.2 MBytes   178 Mbits/sec    1   15.6 KBytes       
[  8]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  8]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0    120 KBytes       
[  8]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0    867 KBytes       
[  8]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec    0   3.08 MBytes       
[  8]   5.00-6.00   sec  18.8 MBytes   157 Mbits/sec    0   20.4 MBytes       
[  8]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   25.7 MBytes       
[  8]   7.00-8.00   sec  27.5 MBytes   231 Mbits/sec    0   18.4 MBytes       
[  8]   8.00-9.00   sec  26.2 MBytes   220 Mbits/sec    0   18.1 MBytes       
[  8]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   18.1 MBytes       
[  8]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec    0   17.9 MBytes       
[  8]  11.00-12.00  sec  25.0 MBytes   210 Mbits/sec    0   17.9 MBytes       
[  8]  12.00-13.00  sec  25.0 MBytes   210 Mbits/sec    0   17.3 MBytes       
[  8]  13.00-14.00  sec  25.0 MBytes   210 Mbits/sec    0   16.9 MBytes       
[  8]  14.00-15.00  sec  23.8 MBytes   199 Mbits/sec    0   16.6 MBytes       
[  8]  15.00-16.00  sec  17.5 MBytes   147 Mbits/sec    0   5.66 KBytes       
[  8]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0   17.1 MBytes       
[  8]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   17.0 MBytes       
[  8]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0   17.0 MBytes       
[  8]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   4.18 MBytes       
[  8]  20.00-21.00  sec  7.50 MBytes  62.9 Mbits/sec    0   6.53 MBytes       
[  8]  21.00-22.00  sec  11.2 MBytes  94.4 Mbits/sec    0   8.98 MBytes       
[  8]  22.00-23.00  sec  11.2 MBytes  94.4 Mbits/sec    0   8.47 MBytes       
[  8]  23.00-24.00  sec  12.5 MBytes   105 Mbits/sec    0   8.71 MBytes       
[  8]  24.00-25.00  sec  12.5 MBytes   105 Mbits/sec    0   8.71 MBytes       
[  8]  25.00-26.00  sec  11.2 MBytes  94.4 Mbits/sec    0   8.59 MBytes       
[  8]  26.00-27.00  sec  11.2 MBytes  94.4 Mbits/sec    0   7.97 MBytes       
[  8]  27.00-28.00  sec  13.8 MBytes   115 Mbits/sec    0   10.3 MBytes       
[  8]  28.00-29.00  sec  20.0 MBytes   168 Mbits/sec    0   15.6 MBytes       
[  8]  29.00-30.00  sec  27.5 MBytes   231 Mbits/sec    0   5.66 KBytes       
[  8]  30.00-31.00  sec  6.25 MBytes  52.4 Mbits/sec    0   17.9 MBytes       
[  8]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   17.9 MBytes       
[  8]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   17.8 MBytes       
[  8]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    844 KBytes       
[  8]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    947 KBytes       
[  8]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.17 MBytes       
[  8]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.17 MBytes       
[  8]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  8]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  8]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.21 MBytes       
[  8]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   5.66 KBytes       
[  8]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.43 MBytes       
[  8]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.43 MBytes       
[  8]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  8]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.54 MBytes       
[  8]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.16 MBytes       
