Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36004 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  2.50 MBytes  21.0 Mbits/sec    0    124 KBytes       
[  8]   1.00-2.00   sec   373 KBytes  3.06 Mbits/sec    0    124 KBytes       
[  8]   2.00-3.00   sec   342 KBytes  2.80 Mbits/sec    0    124 KBytes       
[  8]   3.00-4.00   sec   373 KBytes  3.06 Mbits/sec    0    124 KBytes       
[  8]   4.00-5.00   sec   346 KBytes  2.83 Mbits/sec    0    124 KBytes       
[  8]   5.00-6.00   sec   369 KBytes  3.03 Mbits/sec    0    124 KBytes       
[  8]   6.00-7.00   sec   342 KBytes  2.80 Mbits/sec    0    124 KBytes       
[  8]   7.00-8.00   sec   376 KBytes  3.08 Mbits/sec    0    124 KBytes       
[  8]   8.00-9.00   sec   352 KBytes  2.88 Mbits/sec    0    124 KBytes       
[  8]   9.00-10.00  sec   360 KBytes  2.95 Mbits/sec    0    124 KBytes       
[  8]  10.00-11.00  sec   344 KBytes  2.81 Mbits/sec    0    130 KBytes       
[  8]  11.00-12.00  sec   384 KBytes  3.15 Mbits/sec    0    130 KBytes       
[  8]  12.00-13.00  sec   361 KBytes  2.96 Mbits/sec    0    130 KBytes       
[  8]  13.00-14.00  sec   343 KBytes  2.81 Mbits/sec    0    130 KBytes       
[  8]  14.00-15.00  sec   373 KBytes  3.05 Mbits/sec    0    130 KBytes       
[  8]  15.00-16.00  sec   363 KBytes  2.98 Mbits/sec    0    130 KBytes       
[  8]  16.00-17.00  sec   352 KBytes  2.89 Mbits/sec    0    130 KBytes       
[  8]  17.00-18.00  sec   352 KBytes  2.88 Mbits/sec    0    130 KBytes       
[  8]  18.00-19.00  sec   364 KBytes  2.98 Mbits/sec    0    130 KBytes       
[  8]  19.00-20.00  sec   342 KBytes  2.80 Mbits/sec    0    130 KBytes       
[  8]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    0    130 KBytes       
[  8]  21.00-22.00  sec   352 KBytes  2.88 Mbits/sec    0    130 KBytes       
[  8]  22.00-23.00  sec   355 KBytes  2.91 Mbits/sec    0    130 KBytes       
[  8]  23.00-24.00  sec   373 KBytes  3.06 Mbits/sec    0    130 KBytes       
[  8]  24.00-25.00  sec   360 KBytes  2.95 Mbits/sec    0    133 KBytes       
[  8]  25.00-26.00  sec   356 KBytes  2.91 Mbits/sec    0    133 KBytes       
[  8]  26.00-27.00  sec   348 KBytes  2.85 Mbits/sec    0    133 KBytes       
[  8]  27.00-28.00  sec   367 KBytes  3.01 Mbits/sec    0    133 KBytes       
[  8]  28.00-29.00  sec   369 KBytes  3.02 Mbits/sec    0    133 KBytes       
[  8]  29.00-30.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  30.00-31.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  31.00-32.00  sec   358 KBytes  2.94 Mbits/sec    0    133 KBytes       
[  8]  32.00-33.00  sec   373 KBytes  3.06 Mbits/sec    0    133 KBytes       
[  8]  33.00-34.00  sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
[  8]  34.00-35.00  sec   373 KBytes  3.06 Mbits/sec    0    133 KBytes       
[  8]  35.00-36.00  sec   345 KBytes  2.83 Mbits/sec    0    133 KBytes       
[  8]  36.00-37.00  sec   371 KBytes  3.04 Mbits/sec    0    133 KBytes       
[  8]  37.00-38.00  sec   365 KBytes  2.99 Mbits/sec    0    133 KBytes       
[  8]  38.00-39.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  39.00-40.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  40.00-41.00  sec   362 KBytes  2.96 Mbits/sec    0    133 KBytes       
[  8]  41.00-42.00  sec   374 KBytes  3.07 Mbits/sec    0    133 KBytes       
[  8]  42.00-43.00  sec   352 KBytes  2.88 Mbits/sec    0    133 KBytes       
[  8]  43.00-44.00  sec   362 KBytes  2.97 Mbits/sec    0    133 KBytes       
[  8]  44.00-45.00  sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
[  8]  45.00-46.00  sec   373 KBytes  3.06 Mbits/sec    0    133 KBytes       
[  8]  46.00-47.00  sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
