Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36132 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec  1.20 MBytes  9.96 Mbits/sec    0   28.3 KBytes       
[  8]   1.01-2.00   sec  93.3 KBytes   772 Kbits/sec    0    124 KBytes       
[  8]   2.00-3.00   sec   187 KBytes  1.53 Mbits/sec    0    130 KBytes       
[  8]   3.00-4.00   sec   157 KBytes  1.28 Mbits/sec    0    130 KBytes       
[  8]   4.00-5.00   sec   192 KBytes  1.57 Mbits/sec    0    130 KBytes       
[  8]   5.00-6.00   sec   192 KBytes  1.57 Mbits/sec    0    130 KBytes       
[  8]   6.00-7.00   sec   175 KBytes  1.43 Mbits/sec    0    130 KBytes       
[  8]   7.00-8.00   sec   177 KBytes  1.45 Mbits/sec    0    133 KBytes       
[  8]   8.00-9.00   sec   165 KBytes  1.35 Mbits/sec    0    133 KBytes       
[  8]   9.00-10.00  sec   187 KBytes  1.53 Mbits/sec    0    133 KBytes       
[  8]  10.00-11.00  sec   192 KBytes  1.57 Mbits/sec    0    133 KBytes       
[  8]  11.00-12.01  sec   160 KBytes  1.30 Mbits/sec    0    136 KBytes       
[  8]  12.01-13.01  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  13.01-14.01  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  14.01-15.00  sec   166 KBytes  1.37 Mbits/sec    0    136 KBytes       
[  8]  15.00-16.01  sec   187 KBytes  1.52 Mbits/sec    0    136 KBytes       
[  8]  16.01-17.00  sec   159 KBytes  1.31 Mbits/sec    0    136 KBytes       
[  8]  17.00-18.00  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  18.00-19.00  sec   192 KBytes  1.57 Mbits/sec    0    136 KBytes       
[  8]  19.00-20.00  sec   172 KBytes  1.41 Mbits/sec    0    136 KBytes       
[  8]  20.00-21.00  sec   187 KBytes  1.53 Mbits/sec    0    136 KBytes       
