Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36278 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec   192 KBytes  1.56 Mbits/sec   10   17.0 KBytes       
[  8]   1.01-2.00   sec   128 KBytes  1.06 Mbits/sec    0   17.0 KBytes       
[  8]   2.00-3.01   sec   128 KBytes  1.04 Mbits/sec    0   17.0 KBytes       
[  8]   3.01-4.01   sec   128 KBytes  1.05 Mbits/sec    0   17.0 KBytes       
[  8]   4.01-5.00   sec   119 KBytes   979 Kbits/sec    0   17.0 KBytes       
[  8]   5.00-6.00   sec   105 KBytes   858 Kbits/sec    3   7.07 KBytes       
[  8]   6.00-7.00   sec   122 KBytes  1.00 Mbits/sec    0   7.07 KBytes       
[  8]   7.00-8.00   sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]   8.00-9.00   sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]   9.00-10.00  sec   109 KBytes   897 Kbits/sec    0   7.07 KBytes       
[  8]  10.00-11.01  sec   145 KBytes  1.18 Mbits/sec    0   7.07 KBytes       
[  8]  11.01-12.00  sec   124 KBytes  1.03 Mbits/sec    0   7.07 KBytes       
[  8]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  13.00-14.01  sec   133 KBytes  1.08 Mbits/sec    0   7.07 KBytes       
[  8]  14.01-15.00  sec   110 KBytes   909 Kbits/sec    0   7.07 KBytes       
[  8]  15.00-16.00  sec   147 KBytes  1.20 Mbits/sec    0   7.07 KBytes       
[  8]  16.00-17.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  17.00-18.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  19.00-20.00  sec   117 KBytes   958 Kbits/sec    0   7.07 KBytes       
[  8]  20.00-21.00  sec   149 KBytes  1.22 Mbits/sec    0   7.07 KBytes       
[  8]  21.00-22.01  sec   127 KBytes  1.03 Mbits/sec    0   7.07 KBytes       
[  8]  22.01-23.00  sec   124 KBytes  1.03 Mbits/sec    0   7.07 KBytes       
[  8]  23.00-24.01  sec   124 KBytes  1.01 Mbits/sec    0   7.07 KBytes       
[  8]  24.01-25.00  sec   127 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  26.00-27.00  sec   136 KBytes  1.11 Mbits/sec    0   7.07 KBytes       
[  8]  27.00-28.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  28.00-29.00  sec   144 KBytes  1.18 Mbits/sec    0   7.07 KBytes       
[  8]  29.00-30.00  sec   108 KBytes   884 Kbits/sec    0   7.07 KBytes       
[  8]  30.00-31.00  sec   148 KBytes  1.21 Mbits/sec    0   7.07 KBytes       
[  8]  31.00-32.01  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  32.01-33.00  sec   128 KBytes  1.06 Mbits/sec    0   7.07 KBytes       
[  8]  33.00-34.00  sec   128 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  34.00-35.00  sec   128 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  35.00-36.01  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  36.01-37.02  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  37.02-38.00  sec   128 KBytes  1.07 Mbits/sec    0   7.07 KBytes       
[  8]  38.00-39.00  sec   128 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  39.00-40.00  sec   128 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  40.00-41.00  sec   139 KBytes  1.14 Mbits/sec    0   7.07 KBytes       
[  8]  41.00-42.00  sec   117 KBytes   957 Kbits/sec    0   7.07 KBytes       
[  8]  42.00-43.01  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  43.01-44.00  sec   128 KBytes  1.06 Mbits/sec    0   7.07 KBytes       
[  8]  44.00-45.00  sec   145 KBytes  1.19 Mbits/sec    0   7.07 KBytes       
[  8]  45.00-46.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  46.00-47.01  sec   136 KBytes  1.11 Mbits/sec    0   7.07 KBytes       
[  8]  47.01-48.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  48.00-49.00  sec   124 KBytes  1.02 Mbits/sec    0   7.07 KBytes       
[  8]  49.00-50.00  sec   127 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  50.00-51.00  sec   147 KBytes  1.20 Mbits/sec    0   7.07 KBytes       
[  8]  51.00-52.01  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  52.01-53.00  sec   128 KBytes  1.06 Mbits/sec    0   7.07 KBytes       
[  8]  53.00-54.01  sec   128 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  8]  54.01-55.01  sec   128 KBytes  1.05 Mbits/sec    0   7.07 KBytes       
[  8]  55.01-56.00  sec   128 KBytes  1.06 Mbits/sec    0   7.07 KBytes       
[  8]  56.00-57.00  sec  64.0 KBytes   524 Kbits/sec    0   7.07 KBytes       
[  8]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  63.00-64.01  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  64.01-65.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  65.00-66.01  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  66.01-67.01  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  67.01-68.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
