Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52188 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  32.5 KBytes   266 Kbits/sec    0   15.6 KBytes       
[  8]   1.00-2.01   sec  0.00 Bytes  0.00 bits/sec   15   9.90 KBytes       
[  8]   2.01-3.00   sec  0.00 Bytes  0.00 bits/sec    4   4.24 KBytes       
[  8]   3.00-4.00   sec  31.5 KBytes   258 Kbits/sec    9   4.24 KBytes       
[  8]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    4   22.6 KBytes       
[  8]   5.00-6.00   sec  32.0 KBytes   262 Kbits/sec    2   18.4 KBytes       
[  8]   6.00-7.00   sec  10.4 KBytes  85.4 Kbits/sec    3   1.41 KBytes       
[  8]   7.00-8.00   sec  21.6 KBytes   177 Kbits/sec    1   1.41 KBytes       
[  8]   8.00-9.00   sec  32.0 KBytes   262 Kbits/sec    1   1.41 KBytes       
[  8]   9.00-10.00  sec  8.64 KBytes  70.8 Kbits/sec    2   1.41 KBytes       
[  8]  10.00-11.00  sec  23.4 KBytes   191 Kbits/sec    2   1.41 KBytes       
[  8]  11.00-12.01  sec  7.75 KBytes  62.9 Kbits/sec    1   1.41 KBytes       
[  8]  12.01-13.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  8]  13.00-14.01  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  8]  14.01-15.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  8]  15.00-16.01  sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[  8]  16.01-17.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  8]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[  8]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  8]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]  20.00-21.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  21.01-22.01  sec  11.3 KBytes  92.8 Kbits/sec    0   19.8 KBytes       
[  8]  22.01-23.01  sec  12.9 KBytes   106 Kbits/sec    0   19.8 KBytes       
[  8]  23.01-24.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  24.00-25.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  25.01-26.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  32.01-33.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  33.01-34.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  41.00-42.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  42.01-43.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  43.00-44.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  44.01-45.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  45.00-46.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  46.01-47.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  47.01-48.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  52.00-53.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  53.01-54.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  54.01-55.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  55.01-56.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  58.00-59.00  sec  33.9 KBytes   279 Kbits/sec    0   19.8 KBytes       
[  8]  59.00-60.00  sec  15.6 KBytes   127 Kbits/sec    0   19.8 KBytes       
[  8]  60.00-61.00  sec  14.5 KBytes   119 Kbits/sec    0   19.8 KBytes       
[  8]  61.00-62.00  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  62.00-63.01  sec  32.0 KBytes   260 Kbits/sec    0   19.8 KBytes       
[  8]  63.01-64.00  sec  32.0 KBytes   265 Kbits/sec    0   19.8 KBytes       
[  8]  64.00-65.01  sec  32.0 KBytes   260 Kbits/sec    0   19.8 KBytes       
[  8]  65.01-66.01  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  66.01-67.01  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  67.01-68.00  sec  15.5 KBytes   127 Kbits/sec    0   19.8 KBytes       
[  8]  68.00-69.00  sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8]  69.00-70.00  sec  31.1 KBytes   254 Kbits/sec    0   19.8 KBytes       
[  8]  70.00-71.00  sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8]  71.00-72.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  72.00-73.01  sec  31.1 KBytes   252 Kbits/sec    0   19.8 KBytes       
[  8]  73.01-74.01  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  74.01-75.01  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  75.01-76.00  sec  31.1 KBytes   257 Kbits/sec    0   19.8 KBytes       
[  8]  76.00-77.00  sec  31.1 KBytes   255 Kbits/sec    0   5.66 KBytes       
[  8]  77.00-78.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  78.01-79.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  80.00-81.00  sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8]  81.00-82.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  82.00-83.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  83.00-84.01  sec  31.1 KBytes   252 Kbits/sec    0   19.8 KBytes       
[  8]  84.01-85.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  85.00-86.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  86.00-87.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  87.00-88.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  88.01-89.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  90.00-91.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  92.00-93.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]  95.00-96.01  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8]  96.01-97.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  97.00-98.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  98.01-99.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 104.00-105.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 105.01-106.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 106.00-107.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 107.01-108.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 108.00-109.01 sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8] 109.01-110.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 111.00-112.00 sec  8.48 KBytes  69.7 Kbits/sec    0   19.8 KBytes       
[  8] 112.00-113.00 sec  23.2 KBytes   189 Kbits/sec    0   19.8 KBytes       
[  8] 113.00-114.00 sec  19.3 KBytes   158 Kbits/sec    0   19.8 KBytes       
[  8] 114.00-115.01 sec  31.1 KBytes   252 Kbits/sec    0   19.8 KBytes       
[  8] 115.01-116.01 sec  13.6 KBytes   112 Kbits/sec    0   19.8 KBytes       
[  8] 116.01-117.01 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 117.01-118.00 sec  32.0 KBytes   264 Kbits/sec    0   19.8 KBytes       
[  8] 118.00-119.01 sec  15.7 KBytes   128 Kbits/sec    0   19.8 KBytes       
[  8] 119.01-120.00 sec  16.3 KBytes   134 Kbits/sec    0   19.8 KBytes       
[  8] 120.00-121.00 sec  32.0 KBytes   263 Kbits/sec    0   19.8 KBytes       
[  8] 121.00-122.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 122.00-123.00 sec  13.0 KBytes   107 Kbits/sec    0   19.8 KBytes       
[  8] 123.00-124.00 sec  51.0 KBytes   418 Kbits/sec    0   19.8 KBytes       
[  8] 124.00-125.00 sec  11.2 KBytes  92.2 Kbits/sec    0   19.8 KBytes       
[  8] 125.00-126.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 126.01-127.01 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 127.01-128.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 128.01-129.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 129.01-130.01 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 130.01-131.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 132.00-133.00 sec  31.1 KBytes   254 Kbits/sec    0   19.8 KBytes       
[  8] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 134.00-135.01 sec  24.3 KBytes   197 Kbits/sec    0   19.8 KBytes       
[  8] 135.01-136.01 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 136.01-137.00 sec  5.91 KBytes  48.9 Kbits/sec    0   5.66 KBytes       
[  8] 137.00-138.00 sec  31.1 KBytes   255 Kbits/sec    0   17.0 KBytes       
[  8] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 139.00-140.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 140.00-141.00 sec  31.1 KBytes   254 Kbits/sec    0   19.8 KBytes       
[  8] 141.00-142.00 sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8] 142.00-143.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 143.00-144.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 145.00-146.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 146.00-147.01 sec  31.1 KBytes   253 Kbits/sec    0   19.8 KBytes       
[  8] 147.01-148.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 148.01-149.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 149.00-150.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 150.01-151.00 sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8] 151.00-152.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 153.00-154.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 154.00-155.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 155.00-156.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 156.00-157.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 157.01-158.00 sec  5.66 KBytes  46.8 Kbits/sec    0   19.8 KBytes       
[  8] 158.00-159.01 sec  24.9 KBytes   202 Kbits/sec    0   19.8 KBytes       
[  8] 159.01-160.00 sec  32.0 KBytes   264 Kbits/sec    0   19.8 KBytes       
[  8] 160.00-161.01 sec  18.1 KBytes   147 Kbits/sec    0   19.8 KBytes       
[  8] 161.01-162.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 162.00-163.00 sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8] 163.00-164.00 sec  31.1 KBytes   255 Kbits/sec    0   5.66 KBytes       
[  8] 164.00-165.00 sec  31.1 KBytes   255 Kbits/sec    0   17.0 KBytes       
[  8] 165.00-166.00 sec  31.1 KBytes   255 Kbits/sec    0   17.0 KBytes       
[  8] 166.00-167.01 sec  18.4 KBytes   149 Kbits/sec    0   19.8 KBytes       
[  8] 167.01-168.00 sec  43.8 KBytes   363 Kbits/sec    0   19.8 KBytes       
[  8] 168.00-169.01 sec  20.2 KBytes   164 Kbits/sec    0   19.8 KBytes       
[  8] 169.01-170.00 sec  32.0 KBytes   264 Kbits/sec    0   19.8 KBytes       
[  8] 170.00-171.01 sec  32.0 KBytes   261 Kbits/sec    0   19.8 KBytes       
[  8] 171.01-172.00 sec  32.0 KBytes   264 Kbits/sec    0   19.8 KBytes       
[  8] 172.00-173.00 sec  8.26 KBytes  67.6 Kbits/sec    0   19.8 KBytes       
[  8] 173.00-174.00 sec  31.1 KBytes   254 Kbits/sec    0   19.8 KBytes       
[  8] 174.00-175.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 175.00-176.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 176.00-177.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 177.00-178.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 178.01-179.01 sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8] 179.01-180.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 180.00-181.01 sec  31.1 KBytes   253 Kbits/sec    0   17.0 KBytes       
[  8] 181.01-182.00 sec  31.1 KBytes   256 Kbits/sec    0   19.8 KBytes       
[  8] 182.00-183.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 183.00-184.00 sec  31.1 KBytes   254 Kbits/sec    0   19.8 KBytes       
[  8] 184.00-185.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 185.00-186.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 186.00-187.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 187.01-188.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 188.01-189.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 189.01-190.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 190.00-191.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 191.01-192.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 192.00-193.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 193.00-194.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 194.00-195.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 195.00-196.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 196.00-197.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 197.00-198.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 198.01-199.00 sec  31.1 KBytes   257 Kbits/sec    0   19.8 KBytes       
[  8] 199.00-200.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 200.01-201.00 sec  31.1 KBytes   257 Kbits/sec    0   19.8 KBytes       
[  8] 201.00-202.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 202.00-203.00 sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8] 203.00-204.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 204.00-205.00 sec  31.8 KBytes   261 Kbits/sec    0   19.8 KBytes       
[  8] 205.00-206.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 206.00-207.00 sec  32.0 KBytes   263 Kbits/sec    0   5.66 KBytes       
[  8] 207.00-208.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 208.00-209.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 209.01-210.00 sec  32.0 KBytes   265 Kbits/sec    0   19.8 KBytes       
[  8] 210.00-211.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 211.00-212.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 212.00-213.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 213.00-214.00 sec  32.0 KBytes   261 Kbits/sec    0   19.8 KBytes       
[  8] 214.00-215.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 215.00-216.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 216.00-217.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 217.00-218.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 218.00-219.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 219.00-220.01 sec  32.0 KBytes   260 Kbits/sec    0   17.0 KBytes       
[  8] 220.01-221.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 221.00-222.01 sec  24.2 KBytes   197 Kbits/sec    0   19.8 KBytes       
[  8] 222.01-223.00 sec  7.77 KBytes  64.1 Kbits/sec    0   19.8 KBytes       
[  8] 223.00-224.00 sec  23.3 KBytes   190 Kbits/sec    0   19.8 KBytes       
[  8] 224.00-225.00 sec  8.66 KBytes  71.0 Kbits/sec    0   19.8 KBytes       
[  8] 225.00-226.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 226.00-227.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 227.00-228.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 228.00-229.01 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 229.01-230.00 sec  32.0 KBytes   265 Kbits/sec    0   19.8 KBytes       
[  8] 230.00-231.01 sec  32.0 KBytes   260 Kbits/sec    0   19.8 KBytes       
