Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 51972 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec  2.41 MBytes  20.1 Mbits/sec    0   28.3 KBytes       
[  8]   1.01-2.00   sec  31.1 KBytes   257 Kbits/sec    0   50.9 KBytes       
[  8]   2.00-3.01   sec  93.3 KBytes   759 Kbits/sec    0   79.2 KBytes       
[  8]   3.01-4.01   sec   156 KBytes  1.28 Mbits/sec    0   79.2 KBytes       
[  8]   4.01-5.00   sec   160 KBytes  1.32 Mbits/sec    0   79.2 KBytes       
[  8]   5.00-6.00   sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]   6.00-7.00   sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]   7.00-8.00   sec   171 KBytes  1.41 Mbits/sec    0   79.2 KBytes       
[  8]   8.00-9.00   sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]   9.00-10.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  10.00-11.01  sec   159 KBytes  1.29 Mbits/sec    0   79.2 KBytes       
[  8]  11.01-12.01  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  12.01-13.00  sec   177 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  13.00-14.01  sec   187 KBytes  1.52 Mbits/sec    0   79.2 KBytes       
[  8]  14.01-15.00  sec   187 KBytes  1.54 Mbits/sec    0   79.2 KBytes       
[  8]  15.00-16.01  sec   187 KBytes  1.52 Mbits/sec    0   79.2 KBytes       
[  8]  16.01-17.00  sec   159 KBytes  1.31 Mbits/sec    0   79.2 KBytes       
[  8]  17.00-18.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  18.00-19.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  19.00-20.00  sec   173 KBytes  1.42 Mbits/sec    0   79.2 KBytes       
[  8]  20.00-21.01  sec   187 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  21.01-22.01  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  22.01-23.00  sec   158 KBytes  1.30 Mbits/sec    0   79.2 KBytes       
[  8]  23.00-24.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  24.01-25.01  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  25.01-26.00  sec   174 KBytes  1.43 Mbits/sec    0   79.2 KBytes       
[  8]  26.00-27.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  27.00-28.00  sec   187 KBytes  1.52 Mbits/sec    0   79.2 KBytes       
[  8]  28.00-29.00  sec   157 KBytes  1.29 Mbits/sec    0   79.2 KBytes       
[  8]  29.00-30.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  30.00-31.00  sec   180 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  31.00-32.01  sec   187 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  32.01-33.00  sec   177 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  33.00-34.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  34.01-35.01  sec   160 KBytes  1.31 Mbits/sec    0   79.2 KBytes       
[  8]  35.01-36.00  sec   192 KBytes  1.58 Mbits/sec    0   79.2 KBytes       
[  8]  36.00-37.00  sec   181 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  37.00-38.00  sec   187 KBytes  1.54 Mbits/sec    0   79.2 KBytes       
[  8]  38.00-39.00  sec   177 KBytes  1.44 Mbits/sec    0   79.2 KBytes       
[  8]  39.00-40.00  sec   166 KBytes  1.36 Mbits/sec    0   79.2 KBytes       
[  8]  40.00-41.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  41.00-42.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  42.00-43.01  sec   182 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  43.01-44.00  sec   170 KBytes  1.41 Mbits/sec    0   79.2 KBytes       
[  8]  44.00-45.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  45.00-46.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  46.01-47.01  sec   161 KBytes  1.32 Mbits/sec    0   79.2 KBytes       
[  8]  47.01-48.00  sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  48.00-49.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  49.00-50.00  sec   177 KBytes  1.46 Mbits/sec    0   79.2 KBytes       
[  8]  50.00-51.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  51.00-52.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  52.00-53.01  sec   156 KBytes  1.26 Mbits/sec    0   79.2 KBytes       
[  8]  53.01-54.00  sec   190 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  54.00-55.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  55.00-56.01  sec   178 KBytes  1.45 Mbits/sec    0   79.2 KBytes       
[  8]  56.01-57.01  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  57.01-58.01  sec   179 KBytes  1.47 Mbits/sec    0   79.2 KBytes       
[  8]  58.01-59.00  sec   163 KBytes  1.34 Mbits/sec    0   79.2 KBytes       
[  8]  59.00-60.00  sec   189 KBytes  1.55 Mbits/sec    0   79.2 KBytes       
[  8]  60.00-61.00  sec   184 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  61.00-62.00  sec   168 KBytes  1.38 Mbits/sec    0   79.2 KBytes       
[  8]  62.00-63.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  63.01-64.01  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  64.01-65.01  sec   164 KBytes  1.34 Mbits/sec    0   79.2 KBytes       
[  8]  65.01-66.00  sec   188 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  66.00-67.00  sec   185 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  67.00-68.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  68.00-69.00  sec   172 KBytes  1.41 Mbits/sec    0   79.2 KBytes       
[  8]  69.00-70.00  sec   170 KBytes  1.39 Mbits/sec    0   79.2 KBytes       
[  8]  70.00-71.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  71.00-72.00  sec   188 KBytes  1.54 Mbits/sec    0   79.2 KBytes       
[  8]  72.00-73.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  73.01-74.00  sec   160 KBytes  1.32 Mbits/sec    0   79.2 KBytes       
[  8]  74.00-75.00  sec   176 KBytes  1.44 Mbits/sec    0   79.2 KBytes       
[  8]  75.00-76.01  sec   187 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  76.01-77.01  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  77.01-78.00  sec   187 KBytes  1.54 Mbits/sec    0   79.2 KBytes       
[  8]  78.00-79.00  sec   187 KBytes  1.52 Mbits/sec    0   79.2 KBytes       
[  8]  79.00-80.00  sec   165 KBytes  1.36 Mbits/sec    0   79.2 KBytes       
[  8]  80.00-81.00  sec   192 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  8]  81.00-82.00  sec   171 KBytes  1.41 Mbits/sec    0   79.2 KBytes       
[  8]  82.00-83.01  sec   187 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  83.01-84.01  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  84.01-85.01  sec   159 KBytes  1.31 Mbits/sec    0   79.2 KBytes       
[  8]  85.01-86.00  sec   192 KBytes  1.59 Mbits/sec    0   79.2 KBytes       
[  8]  86.00-87.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  87.01-88.01  sec   172 KBytes  1.41 Mbits/sec    0   79.2 KBytes       
[  8]  88.01-89.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  89.00-90.00  sec   156 KBytes  1.28 Mbits/sec    0   79.2 KBytes       
[  8]  90.00-91.00  sec   190 KBytes  1.55 Mbits/sec    0   79.2 KBytes       
[  8]  91.00-92.00  sec   184 KBytes  1.51 Mbits/sec    0   79.2 KBytes       
[  8]  92.00-93.00  sec   187 KBytes  1.53 Mbits/sec    0   79.2 KBytes       
[  8]  93.00-94.00  sec   174 KBytes  1.42 Mbits/sec    0   79.2 KBytes       
[  8]  94.00-95.01  sec   192 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  8]  95.01-96.00  sec   163 KBytes  1.35 Mbits/sec    0   79.2 KBytes       
[  8]  96.00-97.00  sec   189 KBytes  1.55 Mbits/sec    0   79.2 KBytes       
